date,high,low,close,open,impact,trades,shares
2015-03-24,76.1,76,76,81,-6.17,2,94
2015-03-25,76.5,76,76,76,0,3,742
2015-03-30,76,72.1,72.2,76,-5,5,702
2015-03-31,72.2,70,70.9,72.2,-1.8,6,446
2015-04-02,77,77,77,70.9,8.6,2,1002
2015-04-07,71.2,71.1,71.1,77,-7.66,2,122
2015-04-08,70.3,70.3,70.3,71.1,-1.13,2,100
2015-04-09,71,71,71,70.3,1,1,104
2015-04-10,75.1,75,75,71,5.63,5,2200
2015-04-16,78,73.1,78,75,4,3,170
2015-04-21,77.9,77.4,77.5,78,-0.64,3,20
2015-04-24,73.5,73.5,73.5,77.5,-5.16,1,1
2015-04-27,73.5,73.4,73.4,73.5,-0.14,2,15
2015-04-28,75,73.5,75,73.4,2.18,3,1100
2015-04-29,77,75,76,75,1.33,8,2739
2015-04-30,85,73.6,75,76,-1.32,7,139
2015-05-05,75,75,75,75,0,3,1052
2015-05-07,75.5,74,74.3,75,-0.93,2,500
2015-05-08,76,76,76,74.3,2.29,1,100
2015-05-11,74,73.8,73.9,76,-2.76,12,1112
2015-05-12,75,74,74.3,73.9,0.54,2,200
2015-05-14,74.3,74,74.2,74.3,-0.13,3,54
2015-05-15,74,73.2,73.4,74.2,-1.08,4,82
2015-05-18,73.2,70,70,73.4,-4.63,10,2300
2015-05-19,78,73,77.7,70,11,5,1268
2015-05-20,77.6,77.6,77.6,77.7,-0.13,2,2
2015-05-21,75,74,74,77.6,-4.64,2,150
2015-05-22,76.8,76.8,76.8,74,3.78,2,43
2015-05-26,75,71.5,72.5,76.8,-5.6,10,1452
2015-05-27,71.3,71.3,71.3,72.5,-1.66,1,96
2015-05-28,71.2,71.2,71.2,71.3,-0.14,4,478
2015-06-03,73,72.1,72.2,71.2,1.4,2,13
2015-06-04,72.2,72.2,72.2,72.2,0,1,50
2015-06-05,74.9,73,73,72.2,1.11,5,2550
2015-06-08,72.6,70.1,71.3,73,-2.33,4,180
2015-06-09,72,70,70,71.3,-1.82,7,1043
2015-06-11,70,70,70,70,0,1,20
2015-06-15,68.9,68.8,68.8,70,-1.71,3,105
2015-06-16,70,68.7,70,68.8,1.74,4,202
2015-06-17,70,68.7,70,70,0,2,2
2015-06-18,70,70,70,70,0,1,1
2015-06-19,70,70,70,70,0,6,269
2015-06-22,70,69.8,69.9,70,-0.14,5,123
2015-06-23,69.1,68.5,68.7,69.9,-1.72,7,200
2015-06-24,69.8,69.8,68.7,68.7,0,1,1
2015-06-25,69.8,69.8,68.7,68.7,0,1,1
2015-06-26,69.8,68.6,68.7,68.7,0,3,3
2015-06-30,76.4,76,76,68.7,10.63,2,101
2015-07-03,72.1,61,65.9,76,-13.29,9,145
2015-07-06,65,65,65.9,65.9,0,1,2
2015-07-09,71.5,71.5,65.9,65.9,0,1,1
2015-07-10,72,66,65.9,65.9,0,2,51
2015-07-13,77,70,73.8,65.9,11.99,94,28181
2015-07-14,73,68,68.5,73.8,-7.18,43,20774
2015-07-15,71,71,68.5,68.5,0,1,1
2015-07-16,71.5,68.2,68.3,68.5,-0.29,9,2020
2015-07-17,71,70.4,71,68.3,3.95,20,1738
2015-07-20,71.5,70.1,70.1,71,-1.27,8,1492
2015-07-21,70,69.1,69.2,70.1,-1.28,6,2200
2015-07-22,70,69.9,70,69.2,1.16,14,1003
2015-07-23,72.5,70.9,71,70,1.43,7,1118
2015-07-24,72.9,71,71,71,0,10,416
2015-07-27,71,70.4,70.5,71,-0.7,6,500
2015-07-28,72,70.5,71.5,70.5,1.42,7,3701
2015-07-30,70.2,70.1,70.1,71.5,-1.96,9,1621
2015-08-03,70.1,70.1,70.1,70.1,0,1,100
2015-08-04,70.2,70.1,70.2,70.1,0.14,8,816
2015-08-05,72.8,72.5,72.5,70.2,3.28,7,670
2015-08-06,72.5,71,71,72.5,-2.07,5,105
2015-08-07,71.1,71.1,71.1,71,0.14,4,873
2015-08-10,71,70,70.7,71.1,-0.56,8,239
2015-08-11,71,70.7,70.7,70.7,0,2,12
2015-08-12,71,71,71,70.7,0.42,2,309
2015-08-13,71.1,70.5,70.7,71,-0.42,4,232
2015-08-14,70.6,70,70.2,70.7,-0.71,4,1000
2015-08-17,71,70.8,70.8,70.2,0.85,3,401
2015-08-18,71,70,70,70.8,-1.13,12,4093
2015-08-19,71,71,70,70,0,2,25
2015-08-20,69.2,69.2,69.2,70,-1.14,1,100
2015-08-21,69.5,69.2,69.3,69.2,0.14,3,600
2015-08-24,69.1,68.5,68.6,69.3,-1.01,11,1888
2015-08-26,69.4,69.4,68.6,68.6,0,1,1
2015-08-27,67.4,65,66.1,68.6,-3.64,20,1762
2015-08-28,66,66,66,66.1,-0.15,1,500
2015-09-01,68,68,68,66,3.03,3,259
2015-09-03,68,66,67.5,68,-0.74,10,3620
2015-09-07,66.5,66.5,66.5,67.5,-1.48,3,202
2015-09-08,68,66.1,67.9,66.5,2.11,11,4573
2015-09-09,71,68.3,70.7,67.9,4.12,15,6661
2015-09-10,73,72,72,70.7,1.84,13,6917
2015-09-11,75,70.2,73.5,72,2.08,19,2863
2015-09-14,75,70,72.8,73.5,-0.95,8,1211
2015-09-15,73.9,73.9,73.9,72.8,1.51,3,103
2015-09-16,73,70,70.1,73.9,-5.14,11,2422
2015-09-18,73.4,70,70,70.1,-0.14,3,4003
2015-09-21,73.4,73.4,70,70,0,1,1
2015-09-22,70,70,70,70,0,2,51
2015-09-23,71.5,68.6,69.9,70,-0.14,7,852
2015-09-25,68.5,68,68,69.9,-2.72,3,400
2015-09-28,68,67.1,67.5,68,-0.74,4,109
2015-09-29,68.5,67.1,67.1,67.5,-0.59,6,301
2015-10-02,70,69,69.6,67.1,3.73,10,1399
2015-10-06,68,68,68,69.6,-2.3,2,198
2015-10-07,70,70,70,68,2.94,3,150
2015-10-08,68,67,67.1,70,-4.14,9,999
2015-10-09,67,67,67.1,67.1,0,2,11
2015-10-12,68,68,67.1,67.1,0,1,1
2015-10-13,66.2,66.2,67.1,67.1,0,1,1
2015-10-14,67.5,65.7,65.7,67.1,-2.09,16,1855
2015-10-15,65.6,65,65.3,65.7,-0.61,9,1025
2015-10-16,65,65,65,65.3,-0.46,3,475
2015-10-19,67,65,66,65,1.54,2,100
2015-10-20,68.9,68,68.5,66,3.79,2,186
2015-10-22,66,66,68.5,68.5,0,3,3
2015-10-23,69,69,68.5,68.5,0,1,1
2015-10-29,67.5,67.5,68.5,68.5,0,1,1
2015-11-04,67,60,60.3,68.5,-11.97,38,6492
2015-11-05,62,62,62,60.3,2.82,6,1998
2015-11-06,63.9,63.8,63.9,62,3.06,3,150
2015-11-11,61,60,60.1,63.9,-5.95,4,1000
2015-11-13,61,61,60.1,60.1,0,1,10
2015-11-16,60,59.3,60,60.1,-0.17,7,1120
2015-11-17,60.1,60,60.1,60,0.17,3,523
2015-11-18,63,63,63,60.1,4.83,1,2000
2015-11-19,62,61,62,63,-1.59,2,22011
