date,high,low,close,open,trades,shares,turnover,
2014-06-13,35.5,35,35,35.5,3,25,885,
2014-06-16,36.5,33.6,35.8,35,6,63,"2,246.20",
2014-06-18,35.8,35.8,35.8,35.8,2,6,214.8,
2014-06-19,35.8,33.8,35.6,35.8,16,174,"6,143.00",
2014-06-20,35.8,35.8,35.8,35.6,3,3,107.4,
2014-06-23,33.8,33.4,33.4,35.8,13,268,"8,963.60",
2014-06-25,33.5,33.4,33.4,33.4,4,46,"1,539.00",
2014-06-26,33.4,33.4,33.4,33.4,1,1,33.4,
2014-06-27,34.9,32,32.7,33.4,8,450,"14,935.60",
2014-06-30,31.6,31.6,31.6,32.7,2,158,"4,992.80",
2014-07-01,33.9,31.8,32.9,31.6,2,2,65.7,
2014-07-02,33.9,31.8,31.8,32.9,4,151,"4,803.90",
2014-07-03,32.1,31.7,31.8,31.8,4,200,"6,356.80",
2014-07-07,31.9,31.9,31.9,31.8,1,174,"5,550.60",
2014-07-09,32,32,32,31.9,3,81,"2,592.00",
2014-07-10,32.1,32,32.1,32,3,166,"5,316.00",
2014-07-11,32.5,32.5,32.5,32.1,1,100,"3,250.00",
2014-07-16,32.3,32.3,32.3,32.5,4,205,"6,621.50",
2014-07-17,32,31.8,31.9,32.3,4,201,"6,411.80",
2014-07-18,32.8,31,32.8,31.9,5,201,"6,332.80",
2014-07-22,31.6,31.6,31.6,32.8,2,20,632,
2014-07-23,32.6,32.6,32.6,31.6,1,50,"1,630.00",
2014-07-24,32.8,32.8,32.8,32.6,1,3,98.4,
2014-07-28,33,32.9,33,32.8,4,195,"6,431.30",
2014-07-30,32.6,32.6,32.6,33,1,100,"3,260.00",
2014-08-01,30.9,30.9,30.9,32.6,1,100,"3,090.00",
2014-08-05,31.2,31.2,31.2,30.9,1,50,"1,560.00",
2014-08-06,31.5,31.5,31.5,31.2,2,200,"6,300.00",
2014-08-08,32,32,32,31.5,1,40,"1,280.00",
2014-08-11,33,32,33,32,5,205,"6,665.00",
2014-08-12,35,33.1,33.1,33,10,"1,053","35,888.50",
2014-08-13,37.6,33.2,34.5,33.1,24,"1,824","62,597.40",
2014-08-14,35,33.2,35,34.5,3,106,"3,704.60",
2014-08-15,34.1,34,34,35,5,730,"24,823.00",
2014-08-18,34.2,34,34.2,34,4,522,"17,768.00",
2014-08-19,35.2,32.4,35.2,34.2,3,"6,250","219,860.00",
2014-08-20,35,34.9,35,35.2,6,"1,000","34,990.00",
2014-08-21,32.7,32.4,32.7,35,2,150,"4,890.00",
2014-08-25,35.6,35.5,35.5,32.7,4,207,"7,352.10",
2014-08-26,35.1,35.1,35.1,35.5,1,2,70.2,
2014-08-27,33.2,33.2,33.2,35.1,2,6,199.2,
2014-08-29,35.2,32.6,35.2,33.2,3,"1,004","35,328.40",
2014-09-02,36.5,36.5,36.5,35.2,1,16,584,
2014-09-04,36.4,36.4,36.4,36.5,1,1,36.4,
2014-09-05,34,33.1,33.3,36.4,7,301,"10,028.90",
2014-09-09,33.3,33.3,33.3,33.3,2,200,"6,660.00",
2014-09-10,32.2,32.2,32.2,33.3,1,157,"5,055.40",
2014-09-11,36,33.2,33.2,32.2,8,511,"17,196.00",
2014-09-12,33.3,33.3,33.3,33.2,1,200,"6,660.00",
2014-09-15,35.6,33.6,33.6,33.3,3,101,"3,395.60",
2014-09-17,33.6,33.6,33.6,33.6,2,108,"3,628.80",
2014-09-19,34.6,33.9,34.1,33.6,2,3,102.4,
2014-09-23,33.8,33.8,33.8,34.1,7,654,"22,105.20",
2014-09-24,33.7,33.7,33.7,33.8,1,5,168.5,
2014-09-25,34.5,34.5,34.5,33.7,1,1,34.5,
2014-09-26,33.8,32.5,32.9,34.5,2,150,"4,940.00",
2014-09-29,33.1,33.1,33.1,32.9,1,50,"1,655.00",
2014-09-30,33.2,33.2,33.2,33.1,1,25,830,
2014-10-01,33.1,33.1,33.1,33.2,2,100,"3,310.00",
2014-10-02,34,33.1,33.9,33.1,4,150,"5,089.10",
2014-10-03,34,34,34,33.9,2,291,"9,894.00",
2014-10-07,35,35,35,34,1,5,175,
2014-10-09,35.4,35,35,35,6,587,"20,548.60",
2014-10-10,35.2,34,34,35,5,227,"7,723.20",
2014-10-13,34.1,34.1,34.1,34,1,2,68.2,
2014-10-14,39,36.4,38.3,34.1,17,"1,109","42,476.90",
2014-10-15,42,38.6,38.7,38.3,12,"1,422","56,825.90",
2014-10-16,38.6,38.6,38.6,38.7,1,29,"1,119.40",
2014-10-17,48,40.4,42.6,38.6,71,"9,981","450,100.90",
2014-10-20,44.6,42.1,42.1,42.6,6,400,"17,090.00",
2014-10-21,42.1,42.1,42.1,42.1,2,200,"8,420.00",
2014-10-23,40,32,40,42.1,2,10,352,
2014-10-24,40.8,40.8,40.8,40,1,1,40.8,
2014-10-27,41,36.2,40,40.8,5,112,"4,444.00",
2014-10-28,36.1,35.5,35.8,40,3,380,"13,600.00",
2014-10-30,36.1,36.1,36.1,35.8,2,25,902.5,
2014-10-31,36,36,36,36.1,1,61,"2,196.00",
2014-11-04,42,35,42,36,4,"3,108","109,896.00",
2014-11-07,41.8,38,38.1,42,11,655,"25,048.80",
2014-11-10,40.7,37.4,37.4,38.1,4,71,"2,809.40",
2014-11-11,38,38,38,37.4,1,5,190,
2014-11-12,39.9,37.5,39.9,38,2,200,"7,740.00",
2014-11-13,37.3,37,37.1,39.9,7,785,"29,253.00",
2014-11-14,39.9,37,37.1,37.1,24,"3,290","127,843.20",
2014-11-17,37.3,37.3,37.3,37.1,2,7,261.1,
2014-11-19,39.4,38,39.4,37.3,2,31,"1,214.40",
2014-11-21,39.1,39.1,39.1,39.4,1,50,"1,955.00",
2014-11-26,32.1,32,32.1,39.1,4,319,"10,237.60",
2014-11-27,32.3,32.1,32.1,32.1,4,477,"15,369.40",
2014-11-28,32.2,32.2,32.2,32.1,2,200,"6,440.00",
