date,high,low,close,open,trades,shares,turnover,
2014-01-17,37.7,37.7,37.7,38.6,2,300,"11,310.00",
2014-01-20,38.9,38.9,38.9,37.7,1,1,38.9,
2014-01-21,40,38.9,39.9,38.9,10,"475,465","18,971,007.50",
2014-01-22,40,38.9,39,39.9,6,"15,518","605,282.00",
2014-01-23,39,37.6,38.2,39,13,"1,700","64,800.00",
2014-01-24,42,39.5,42,38.2,16,"290,947","12,208,363.20",
2014-01-27,41.4,38.1,41.4,42,9,"477,604","19,771,771.60",
2014-02-05,39.8,36.2,39.8,41.4,6,513,"20,373.90",
2014-02-06,39.8,37.6,38.9,39.8,3,165,"6,422.00",
2014-02-07,38.9,37.6,38.8,38.9,11,412,"15,736.30",
2014-02-10,38.5,38,38.5,38.8,2,"5,500","211,500.00",
2014-02-11,39.8,39.8,39.8,38.5,1,1,39.8,
2014-02-13,38,38,38,39.8,2,210,"7,980.00",
2014-02-17,36,35.6,36,38,2,101,"3,635.60",
2014-02-18,40,34.9,39.5,36,12,"1,200","46,502.20",
2014-02-19,39.4,37,39.3,39.5,15,"1,475","56,995.80",
2014-02-20,38.1,38.1,38.1,39.3,3,22,838.2,
2014-02-24,38.6,37,38.6,38.1,8,"1,078","40,046.10",
2014-02-26,38.9,37,37.5,38.6,10,800,"30,418.10",
2014-02-28,39.2,38.9,39.1,37.5,11,"1,700","66,400.00",
2014-03-04,39.5,38,38.3,39.1,5,310,"11,877.00",
2014-03-06,39,38.9,38.9,38.3,2,30,"1,168.00",
2014-03-07,37.3,37.2,37.2,38.9,4,191,"7,105.70",
2014-03-10,38.7,37.5,37.5,37.2,2,6,226.2,
2014-03-11,33.1,33,33,37.5,2,65,"2,145.50",
2014-03-12,37.5,37.5,37.5,33,1,2,75,
2014-03-13,34.1,34.1,34.1,37.5,1,100,"3,410.00",
2014-03-18,38,34.6,37.3,34.1,22,"2,147","79,589.00",
2014-03-20,37.3,37,37,37.3,8,95,"3,515.30",
2014-03-24,37,34.7,35.7,37,15,"1,301","46,458.70",
2014-03-25,37.8,36,37.6,35.7,7,"1,102","39,829.00",
2014-03-26,37.8,35,37.7,37.6,3,201,"7,568.00",
2014-03-27,38.9,36,38.5,37.7,3,102,"3,926.00",
2014-03-31,38.4,37.5,37.9,38.5,7,"1,018","38,586.60",
2014-04-01,38.9,36.1,38.8,37.9,6,701,"27,045.80",
2014-04-02,39,37.1,38.8,38.8,16,"3,315","128,490.20",
2014-04-03,39.5,39,39.1,38.8,4,"1,000","39,068.50",
2014-04-07,40,39,39.8,39.1,8,"5,000","198,948.50",
2014-04-08,40,37.2,39.8,39.8,7,"3,205","127,610.00",
2014-04-09,40,40,40,39.8,3,"3,900","156,000.00",
2014-04-10,39.9,39.9,39.9,40,1,1,39.9,
2014-04-11,40,37,39.4,39.9,28,"2,919","112,219.90",
2014-04-17,39.7,39.7,39.7,39.4,1,1,39.7,
2014-04-21,39.7,39.7,39.7,39.7,1,19,754.3,
2014-04-22,39.9,37.3,38,39.7,10,"2,101","81,090.50",
2014-04-23,39.5,39,39.5,38,2,309,"12,151.00",
2014-04-24,39.5,37.8,39.5,39.5,10,215,"8,467.20",
2014-04-29,39.3,38,38.2,39.5,10,770,"29,444.40",
2014-04-30,40,38,39.2,38.2,16,"6,506","254,856.00",
2014-05-02,39.8,38,39,39.2,14,924,"35,678.40",
2014-05-05,39.8,38.1,39.2,39,6,701,"27,609.80",
2014-05-06,39.8,39.8,39.8,39.2,1,102,"4,059.60",
2014-05-07,39.8,38,39.7,39.8,16,"2,524","99,135.70",
2014-05-08,39.9,39,39.5,39.7,2,"1,000","39,450.00",
2014-05-09,40,39.1,39.5,39.5,13,"2,332","92,460.10",
2014-05-12,40,39.1,39.2,39.5,16,"2,699","107,697.70",
2014-05-16,39.5,39.1,39.1,39.2,4,30,"1,181.00",
2014-05-19,40,39,39,39.1,6,312,"12,278.00",
2014-05-20,39.9,38.8,38.9,39,5,"1,100","42,790.00",
2014-05-22,39,39,39,38.9,1,2,78,
2014-05-23,40,38.9,40,39,18,"60,003","2,399,812.40",
2014-05-26,40,38.8,40,40,2,101,"4,038.80",
2014-05-27,39,39,39,40,7,500,"19,500.00",
2014-05-28,38.7,38.7,38.7,39,2,100,"3,870.00",
2014-05-29,39.9,35.1,39.4,38.7,25,991,"38,253.10",
2014-05-30,39.5,38.5,39,39.4,6,673,"26,163.50",
2014-06-02,39,39,39,39,3,60,"2,340.00",
2014-06-03,38.9,38,38.1,39,14,"2,641","100,583.90",
2014-06-04,38.9,38.1,38.9,38.1,7,268,"10,225.10",
2014-06-05,38.8,38.4,38.5,38.9,9,267,"10,305.20",
2014-06-06,38.8,38.5,38.5,38.5,5,129,"4,997.40",
2014-06-09,38.5,37.6,37.8,38.5,10,397,"15,144.10",
2014-06-10,38.8,37.6,38,37.8,19,"2,229","84,587.20",
2014-06-11,38.9,36.8,37.2,38,7,"1,087","41,975.00",
2014-06-13,38.8,37.1,37.9,37.2,6,201,"7,626.70",
2014-06-16,39.4,38.2,38.7,37.9,15,953,"36,887.50",
2014-06-17,39.2,36.7,38.2,38.7,16,"1,415","54,166.20",
2014-06-18,38.9,37,38.9,38.2,5,191,"7,082.30",
2014-06-19,38.9,37.3,38.9,38.9,2,30,"1,139.80",
2014-06-20,39.1,38.8,38.9,38.9,6,102,"3,976.60",
2014-06-23,38.9,38.5,38.5,38.9,2,12,466,
2014-06-24,38.4,38.4,38.4,38.5,4,49,"1,881.60",
2014-06-25,38.9,38.9,38.9,38.4,3,5,194.5,
2014-06-26,38.8,37.3,38.4,38.9,8,410,"15,507.10",
2014-06-27,38.8,37.1,37.9,38.4,16,829,"31,339.00",
2014-06-30,38.7,37.1,38.3,37.9,6,429,"16,160.90",
2014-07-01,38.9,37.3,38,38.3,15,"1,031","39,481.20",
2014-07-02,39.7,37.1,38.9,38,16,"1,811","69,901.70",
2014-07-03,39.8,39.5,39.7,38.9,7,"1,210","48,071.60",
2014-07-04,39.4,37.4,37.4,39.7,9,858,"33,279.30",
2014-07-07,39,39,39,37.4,2,400,"15,600.00",
2014-07-08,39.3,37.6,39.1,39,4,533,"20,685.00",
2014-07-09,39,37.6,38.3,39.1,6,150,"5,743.40",
2014-07-11,39.5,37.7,39.1,38.3,12,"1,036","40,621.60",
2014-07-14,37.9,37.8,37.8,39.1,6,210,"7,948.00",
2014-07-15,37.7,37.7,37.7,37.8,1,100,"3,770.00",
2014-07-17,38,38,38,37.7,1,100,"3,800.00",
2014-07-18,38,38,38,38,1,1,38,
2014-07-21,39.3,37.5,39.1,38,11,760,"29,364.40",
2014-07-22,39.8,37.6,39.2,39.1,7,"1,175","45,957.90",
2014-07-23,39.9,39.6,39.7,39.2,3,"1,300","51,640.00",
2014-07-28,40,39,39.5,39.7,6,"1,000","39,525.80",
2014-08-01,39.5,39.5,39.5,39.5,1,50,"1,975.00",
2014-08-04,39.5,37.7,39,39.5,7,801,"31,562.80",
2014-08-05,39,37,37.4,39,9,"1,050","39,223.00",
2014-08-06,39,39,39,37.4,1,10,390,
2014-08-07,39.4,38.9,39,39,6,500,"19,520.00",
2014-08-08,39.4,36.5,38,39,43,"47,260","1,742,408.40",
2014-08-11,39.4,38.9,39,38,6,"1,874","73,117.00",
2014-08-12,39,37,38.1,39,25,"16,824","627,418.80",
2014-08-13,39,37.2,38.1,38.1,22,"8,900","338,858.10",
