date,high,low,close,open,trades,shares,turnover
2015-06-11,38.6,38.4,38.4,37.3,4,15,578
2015-06-12,37.5,37.5,37.5,38.4,2,300,"11,250.00"
2015-06-15,38.5,37.6,37.6,37.5,15,"1,752","65,877.00"
2015-06-16,38.5,38.2,38.2,37.6,2,26,993.5
2015-06-17,39,38,38.9,38.2,16,"7,142","275,646.10"
2015-06-18,39,38.5,38.9,38.9,4,410,"15,940.00"
2015-06-19,40,39,39.8,38.9,25,"11,836","466,860.00"
2015-06-22,41,38.7,40.4,39.8,8,"2,062","83,776.10"
2015-06-23,40.4,39,40.1,40.4,70,"14,888","595,570.80"
2015-06-24,40.7,40,40,40.1,42,"31,158","1,246,358.20"
2015-06-25,40.3,40,40,40,40,"18,463","738,534.00"
2015-06-26,40.4,40,40,40,7,"2,324","92,960.80"
2015-06-29,40.4,40,40,40,46,"51,208","2,051,743.20"
2015-06-30,38.1,36,36.3,40,16,"10,008","361,748.40"
2015-07-02,37.1,36,36.1,36.3,8,"2,097","76,726.00"
2015-07-03,37.4,36.7,37,36.1,9,"18,495","686,887.50"
2015-07-06,36.9,36,36.1,37,7,595,"21,629.00"
2015-07-07,36,36,36,36.1,2,483,"17,388.00"
2015-07-08,36,35,36,36,9,"1,750","62,503.50"
2015-07-09,36,35,35,36,8,"8,702","304,687.70"
2015-07-13,36.6,35,35,35,15,"4,938","173,003.20"
2015-07-14,36.5,34.9,34.9,35,9,"3,660","128,030.00"
2015-07-15,34.9,34.7,34.9,34.9,4,125,"4,359.50"
2015-07-16,36.5,35,35.1,34.9,4,"2,151","75,435.00"
2015-07-17,36.4,35.3,35.6,35.1,10,"6,118","216,815.40"
2015-07-20,36,36,36,35.6,3,"1,400","50,400.00"
2015-07-21,36,36,36,36,7,"1,660","59,760.00"
2015-07-22,36,35.8,36,36,6,526,"18,890.80"
2015-07-23,36,35.5,36,36,7,"2,735","98,455.00"
2015-07-24,37,36,37,36,16,"12,955","476,237.80"
2015-07-27,37.4,37.4,37.4,37,7,527,"19,709.80"
2015-07-28,37.4,35.8,35.9,37.4,15,"18,139","651,337.00"
2015-07-29,36,35.9,36,35.9,2,"2,600","93,540.00"
2015-07-30,36.1,36,36.1,36,8,935,"33,675.00"
2015-08-03,36.1,35.9,35.9,36.1,5,600,"21,595.10"
2015-08-04,37.2,37.2,37.2,35.9,1,100,"3,720.00"
2015-08-05,37,36,36.1,37.2,6,"1,276","46,291.60"
2015-08-06,36,34.5,36,36.1,10,"1,200","42,410.00"
2015-08-07,36,35.7,35.7,36,3,450,"16,155.00"
2015-08-10,36,35.5,35.7,35.7,10,"2,481","88,316.00"
2015-08-11,36.3,35.1,36,35.7,7,560,"19,995.00"
2015-08-12,36,35,35,36,9,"1,041","36,446.20"
2015-08-13,36,34.8,35.1,35,16,"2,534","88,433.70"
2015-08-14,36.6,34.9,35,35.1,5,"1,210","42,266.00"
2015-08-17,36.6,36.6,35,35,1,2,73.2
2015-08-18,36.5,36.5,36.5,35,6,840,"30,660.00"
2015-08-19,36.6,36.5,36.5,36.5,6,298,"10,896.80"
2015-08-20,36.8,36,36,36.5,3,545,"19,940.00"
2015-08-21,36.7,36.7,36.7,36,5,"1,162","42,645.40"
2015-08-24,36.7,36,36.6,36.7,4,403,"14,738.80"
2015-08-25,36,34.6,34.6,36.6,9,"1,522","52,767.60"
2015-08-26,35,34.6,34.6,34.6,4,788,"27,336.00"
2015-08-28,37,35,35,34.6,13,"4,001","143,852.50"
2015-09-01,36.7,36.7,35,35,2,11,403.7
2015-09-02,36.4,36.4,35,35,1,11,400.4
2015-09-03,37.5,36.5,37.4,35,64,"156,851","5,813,154.60"
2015-09-04,37.5,36.6,37.5,37.4,9,"25,525","956,965.00"
2015-09-08,37.5,37,37,37.5,4,"9,525","352,785.00"
2015-09-09,37.9,37.8,37,37,2,6,227.3
