date,high,low,closing,open,trades,shares,turnover
2015-03-03,80.5,80.5,80.5,82.3,1,1,80.5
2015-03-04,84.8,84.8,84.8,80.5,1,1,84.8
2015-03-06,84,84,84,84.8,1,5,420
2015-03-09,80.4,80.4,80.4,84,2,129,"10,371.60"
2015-03-10,80.5,79.7,80,80.4,6,"1,821","146,218.60"
2015-03-11,83.8,83.8,83.8,80,1,1,83.8
2015-03-23,81,75.2,81,83.8,12,"1,271","101,529.70"
2015-03-24,76.1,76,76,81,2,94,"7,148.00"
2015-03-25,76.5,76,76,76,3,742,"56,514.00"
2015-03-30,76,72.1,72.2,76,5,702,"52,605.00"
2015-03-31,72.2,70,70.9,72.2,6,446,"31,861.00"
2015-04-02,77,77,77,70.9,2,"1,002","77,154.00"
2015-04-07,71.2,71.1,71.1,77,2,122,"8,679.20"
2015-04-08,70.3,70.3,70.3,71.1,2,100,"7,030.00"
2015-04-09,71,71,71,70.3,1,104,"7,384.00"
2015-04-10,75.1,75,75,71,5,"2,200","165,010.00"
2015-04-16,78,73.1,78,75,3,170,"12,813.00"
2015-04-21,77.9,77.4,77.5,78,3,20,"1,550.20"
2015-04-24,73.5,73.5,73.5,77.5,1,1,73.5
2015-04-27,73.5,73.4,73.4,73.5,2,15,"1,101.40"
2015-04-28,75,73.5,75,73.4,3,"1,100","81,750.00"
2015-04-29,77,75,76,75,8,"2,739","207,803.00"
2015-04-30,85,73.6,75,76,7,139,"10,607.50"
2015-05-05,75,75,75,75,3,"1,052","78,900.00"
2015-05-07,75.5,74,74.3,75,2,500,"37,150.00"
2015-05-08,76,76,76,74.3,1,100,"7,600.00"
2015-05-11,74,73.8,73.9,76,12,"1,112","82,212.90"
2015-05-12,75,74,74.3,73.9,2,200,"14,850.00"
2015-05-14,74.3,74,74.2,74.3,3,54,"4,010.70"
2015-05-15,74,73.2,73.4,74.2,4,82,"6,019.80"
2015-05-18,73.2,70,70,73.4,10,"2,300","162,533.20"
2015-05-19,78,73,77.7,70,5,"1,268","96,709.00"
2015-05-20,77.6,77.6,77.6,77.7,2,2,155.2
2015-05-21,75,74,74,77.6,2,150,"11,150.00"
2015-05-22,76.8,76.8,76.8,74,2,43,"3,302.40"
2015-05-26,75,71.5,72.5,76.8,10,"1,452","106,765.30"
2015-05-27,71.3,71.3,71.3,72.5,1,96,"6,844.80"
2015-05-28,71.2,71.2,71.2,71.3,4,478,"34,033.60"
2015-06-03,73,72.1,72.2,71.2,2,13,938.2
