date,colombo_stock_exchange,dhammika_perera,singer_sri_lanka,hayleys,jedb,kelani_valley,exports,tea_board,ceylon_tea,ceylon_tea,russia,sri_lankan_tea,green_tea,turkey,china_tea,tea_exports,hayleys,tea_export,lucille,company_act,indian_tea,kalu_ganga,glyphosate,leopard,urea,dengue,water_supply,fertilizer_,glyphosate_,bus_strike,fruit_fly,paddy,drought,estate,rubber,kidney_disease,floods,maize,fertilizer,protest,flooding,landslides,political_crisis,heavy_rain,curry_leaves,max_value,kw_max,daily_news_vector_sum,high,low,close,open,trades,shares,turnover,high_1,low_1,close_1,open_1,trades_1,shares_1,turnover_1,impact,isImpacted
2017-06-22,0.63,0.17,0,0.37,0,0.49,0.48,0,0,0,0.5,0,-0.25,0.18,0,0,-0.37,0,0,0,0,0,0,0,0,-0.54,0,0,0,0,0,0.16,0,-0.24,-0.43,-0.31,-0.05,0.48,0,-0.19,-0.32,-0.34,0,0,0,0.63,colombo stock exchange,1.05,93.8,84.5,92.5,93.5,9,811,74641,12.61,1.44,-1.07,0,800,81000,89505.04,-0.8043,0
2017-06-27,0.23,0,0,0.29,0,0,0.51,0.47,0.58,0.58,0.27,0.39,-0.27,0.19,0.99,-0.99,-0.29,0,0,0,0,0,0,0,0,-0.41,-0.37,-0.28,0,0,0,0.17,0,-0.38,-0.61,0,0,0,0.28,0,0,0,0,0,0,-0.99,china tea,0.36,91.9,85.2,91.5,92.5,39,4345,387932.2,-2.03,0.83,-1.08,-1.07,333.33,435.76,419.73,-1.3477,0
2017-06-29,0.67,0,0,0.19,0,0,0.25,0.92,0.29,0.29,0.2,0,0,0,0,0,-0.19,0,0,-0.49,0,0,0,-0.36,0.35,-0.28,0,0,0,0,0,0.49,0,-0.38,-0.3,-0.33,-0.05,0,0,-0.19,0,0,0,0,0,0.92,tea board,2,90.9,80,90.1,91.5,49,6911,601897.6,-1.09,-6.1,-1.53,-1.08,25.64,59.06,55.16,-1.9587,0
2017-06-30,0.65,0,0,0.19,0,0,0.5,0.45,0.28,0.28,0.38,0.38,-0.26,0.18,0,0,-0.19,0,0,0,0,0,0,-0.35,0.34,-0.4,0,-0.27,0,0,0,0,0,-0.12,-0.44,0,0,0,0.27,-0.19,-0.17,0,0,0,-0.46,0.65,colombo stock exchange,1.7,90,85,86.4,90.1,22,16002,1382493.7,-0.99,6.25,-4.11,-1.53,-55.1,131.54,129.69,-4.1331,0
2017-07-03,0,0,0,0.38,0,0,0.25,0.45,0.84,0.84,0.52,0.38,-0.26,0.18,0,0,-0.38,0,0,0,0,0,-0.48,-0.71,0,-0.76,-0.24,0,-0.48,0,0,0.49,0,-0.25,-0.45,0,0,0,0,0,-0.17,-0.36,0,0,-0.46,0.84,Ceylon Tea,0.17,89.9,86.4,89.8,86.4,16,1025,92076.6,-0.11,1.65,3.94,-4.11,-27.27,-93.59,-93.34,0.3913,0
2017-07-06,0.42,0,0,0.27,0,0,0.48,0.44,0.67,0.67,0.19,0,-0.37,0.35,0,0,-0.27,0.39,0,-0.46,0,0,0,-0.34,0,-0.46,0,0,0,0,0,0.16,0.34,-0.36,-0.72,0,-0.05,0,0,0,0,0,0,0,-0.44,-0.72,rubber,0.19,91.5,89.9,91.4,89.8,17,700,63329.9,1.78,4.05,1.78,3.94,6.25,-31.71,-31.22,2.2086,0
2017-07-13,0.22,0.17,0,0.28,0,0,0.24,0.89,0.27,0.27,0.38,0,-0.5,0.36,0,0,-0.28,0,0,0,0,0,-0.47,0,0.68,-0.59,-0.24,0,-0.47,0,0,0.16,0,-0.24,0,0,-0.05,0,0,0,0,0,0,0,-0.45,0.89,tea board,1.52,89.9,89.8,91.4,91.4,5,10,898.5,-1.75,-0.11,0,1.78,-70.59,-98.57,-98.58,1.8384,0
2017-07-14,0.21,0,0,0.19,0,0,0,0,0.27,0.27,0.25,0,-0.5,0.45,0,0,-0.19,0,0,-0.47,0,0,-0.47,-0.34,0,-0.78,-0.23,0,-0.47,0,0,0,0,-0.12,-0.29,0,0,0.49,0,-0.19,0,0,0,-0.47,0,-0.78,dengue,-3.17,92,89.9,90.8,91.4,7,1500,136145,2.34,0.11,-0.66,0,40,14900,15052.48,-0.055,0
2017-07-18,0.21,0,0,0.18,0,0,0,0.43,0.79,0.79,0.24,0,-0.49,0.43,0,0,-0.18,0,0,0,0,0,0,0,0.32,-0.68,-0.23,-0.26,0,0,0,0.31,0,0,-0.7,0,-0.05,0,0.26,0,0,0,0,0,0,0.79,Ceylon Tea,2.16,91.9,89.4,91,90.8,18,953,85866.7,-0.11,-0.56,0.22,-0.66,157.14,-36.47,-36.93,-0.1646,0
2017-07-20,0.42,0,0,0.46,0,0,0,0,0.27,0.27,0.12,0,-0.25,0.35,0,0,-0.46,0,0,-0.46,0,0,0,-0.34,0,-0.69,-0.23,0,0,0,0,0.16,0.34,-0.12,-0.85,0,0,0,0,-0.18,-0.16,0,0,0,0,-0.85,rubber,-2.2,85.3,85.3,91,91,1,1,85.3,-7.18,-4.59,0,0.22,-94.44,-99.9,-99.9,-0.0549,0
