date	colombo_stock_exchange	dhammika_perera	singer_sri_lanka	hayleys	jedb	kelani_valley	exports	tea_board	ceylon_tea	ceylon_tea	russia	sri_lankan_tea	green_tea	turkey	china_tea	tea_exports	hayleys	tea_export	lucille	company_act	indian_tea	max_value	kw_max	daily_news_vector_sum	high	low	close	open	trades	shares	turnover	high_1	low_1	close_1	open_1	trades_1	shares_1	turnover_1	impact	isImpacted
2017-06-21	0.29	0.0	0.0	0.17	-0.0	0.0	0.19	0.0	0.0	0.26	0.67	0.0	-0.28	0.41	0.0	-0.0	-0.17	0.0	-0.0	-0.47	0.0	0.67	russia	1.7400000000000002	83.3	83.3	93.5	93.5	1.0	1.0	83.3	-11.29	-11.29	0.0	0.0	0.0	0.0	-11.29	0.0	
2017-06-22	0.76	0.0	0.0	0.33	-0.0	0.89	0.19	0.0	0.0	0.0	0.53	0.0	-0.27	0.13	0.0	-0.52	-0.33	0.56	-0.0	-0.48	0.0	0.89	kelani valley	2.68	93.8	84.5	92.5	93.5	9.0	811.0	74641.0	12.61	1.44	-1.07	0.0	800.0	81000.0	89505.04	-0.8043	
2017-06-27	0.0	0.28	0.0	0.0	-0.0	0.0	0.0	0.63	0.45	0.42	0.29	0.0	-0.59	0.14	0.97	-0.0	-0.0	0.0	-0.0	-0.51	0.0	0.97	china tea	3.05	91.9	85.2	91.5	92.5	39.0	4345.0	387932.2	-2.03	0.83	-1.08	-1.07	333.33	435.76	419.73	-1.3477	
2017-06-29	0.41	0.0	0.0	0.35	-0.0	0.0	1.0	0.31	0.0	0.0	0.64	0.36	-0.0	0.0	0.0	-0.0	-0.35	0.0	-0.0	-0.0	0.0	1.0	exports	3.72	90.9	80.0	90.1	91.5	49.0	6911.0	601897.6	-1.09	-6.1	-1.53	-1.08	25.64	59.06	55.16	-1.9587	
2017-06-30	0.3	0.0	0.0	0.34	-0.0	0.0	0.0	0.46	0.0	0.27	0.41	0.35	-0.0	0.14	0.0	-0.0	-0.34	0.0	-0.0	-0.0	0.0	0.46	tea board	2.39	90.0	85.0	86.4	90.1	22.0	16002.0	1382493.7	-0.99	6.25	-4.11	-1.53	-55.1	131.54	129.69	-4.1331	
2017-07-03	0.2	0.0	0.0	0.17	-0.0	0.0	0.0	0.3	0.0	0.27	0.41	0.35	-0.0	0.41	0.0	-0.0	-0.17	0.0	-0.0	-0.0	0.0	0.41	russia	2.35	89.9	86.4	89.8	86.4	16.0	1025.0	92076.6	-0.11	1.65	3.94	-4.11	-27.27	-93.59	-93.34	0.3913	
2017-07-06	0.48	0.0	0.0	0.0	-0.0	0.0	0.38	0.29	0.42	0.65	0.34	0.0	-0.0	0.0	0.0	-0.52	-0.0	0.0	-0.0	-0.0	0.0	0.65	ceylon tea	2.69	91.5	89.9	91.4	89.8	17.0	700.0	63329.9	1.78	4.05	1.78	3.94	6.25	-31.71	-31.22	2.2086	
2017-07-13	0.39	0.52	0.0	0.34	-0.0	0.0	0.19	0.6	0.21	0.26	0.27	0.0	-0.0	0.27	0.0	-0.0	-0.34	0.0	-0.0	-0.0	0.0	0.6	tea board	3.31	89.9	89.8	91.4	91.4	5.0	10.0	898.5	-1.75	-0.11	0.0	1.78	-70.59	-98.57	-98.58	1.8384	
2017-07-14	0.48	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.42	0.52	0.33	0.0	-0.55	0.27	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.55	green tea	0.92	92.0	89.9	90.8	91.4	7.0	1500.0	136145.0	2.34	0.11	-0.66	0.0	40.0	14900.0	15052.48	-0.055	
2017-07-18	0.47	0.0	0.0	0.0	-0.0	0.0	0.0	0.57	0.41	0.38	0.2	0.0	-0.27	0.13	0.89	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.89	china tea	3.67	91.9	89.4	91.0	90.8	18.0	953.0	85866.7	-0.11	-0.56	0.22	-0.66	157.14	-36.47	-36.93	-0.1646	
2017-07-20	0.29	0.26	0.0	0.17	-0.0	0.0	0.0	0.59	0.0	0.0	0.54	0.35	-0.55	0.27	0.0	-0.0	-0.17	0.0	-0.0	-0.95	0.0	-0.95	company act	-0.1499999999999999	85.3	85.3	91.0	91.0	1.0	1.0	85.3	-7.18	-4.59	0.0	0.22	-94.44	-99.9	-99.9	-0.0549	
2017-07-21	0.19	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.21	0.26	0.27	0.34	-0.56	0.27	0.0	-0.0	-0.0	0.0	-0.0	-0.48	0.0	-0.56	green tea	-0.06000000000000005	85.7	85.7	91.0	91.0	2.0	20.0	1714.0	0.47	0.47	0.0	0.0	100.0	1900.0	1909.38	0.055	
2017-07-24	0.19	0.0	0.0	0.17	-0.0	0.0	0.58	0.3	0.0	0.26	0.34	0.34	-0.56	0.0	0.0	-0.0	-0.17	0.56	-0.0	-0.0	0.0	0.58	exports	2.59	85.6	85.6	91.0	91.0	3.0	23.0	1968.8	-0.12	-0.12	0.0	0.0	50.0	15.0	14.87	0.0	1.0
2017-07-27	0.19	0.0	0.0	0.32	-0.0	0.0	0.18	0.57	0.4	0.5	0.45	0.65	-0.53	0.39	0.0	-0.0	-0.32	0.53	-0.0	-0.45	0.0	0.65	sri lankan tea	3.53	85.5	85.0	91.0	91.0	7.0	70.0	5968.8	-0.12	-0.7	0.0	0.0	133.33	204.35	203.17	0.0	
2017-07-28	0.28	0.26	0.0	0.33	-0.0	0.0	0.0	0.0	0.62	0.51	0.26	0.0	-0.55	0.0	0.0	-0.0	-0.33	0.55	-0.0	-0.0	0.0	0.62	Ceylon Tea	2.55	86.1	86.0	86.0	91.0	8.0	5137.0	442094.7	0.7	1.18	-5.49	0.0	14.29	7238.57	7306.76	-4.1783	
2017-08-01	0.36	0.48	0.0	0.15	-0.0	0.0	0.0	0.28	0.19	0.24	0.31	0.0	-0.0	0.13	0.87	-0.0	-0.15	0.0	-0.0	-0.0	0.0	0.87	china tea	3.73	86.0	86.0	86.0	86.0	1.0	200.0	17200.0	-0.12	0.0	0.0	-5.49	-87.5	-96.11	-96.11	-2.8249	
2017-08-04	0.0	0.0	0.0	0.16	-0.0	0.0	0.18	0.29	0.0	0.0	0.39	0.0	-0.54	0.13	0.0	-0.0	-0.16	0.0	-0.0	-0.47	0.0	-0.54	green tea	-0.56	86.0	86.0	86.0	86.0	2.0	4502.0	387172.0	0.0	0.0	0.0	0.0	100.0	2151.0	2151.0	-1.4327	
2017-08-08	0.55	0.25	0.0	0.48	-0.0	0.0	0.0	0.56	0.4	0.5	0.19	0.0	-0.0	0.13	0.0	-0.0	-0.48	0.0	-0.0	-0.0	0.0	0.56	tea board	3.14	89.0	89.0	89.0	86.0	1.0	1000.0	89000.0	3.49	3.49	3.49	0.0	-50.0	-77.79	-77.01	2.5937	
